epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,4163.79,2.53988,4.84351,0.76334,0.58023,0.17293,0.18825,0.11297,2.06039,4.11607,0.63715,0.000181703,0.000181703,0.000181703
92,4200.58,2.71269,4.79628,0.78658,0.63936,0.16635,0.18442,0.10598,2.14519,4.09307,0.62081,0.0001652,0.0001652,0.0001652
93,4238.9,2.09973,3.20586,0.7464,0.63936,0.16635,0.18442,0.10598,2.14519,4.09307,0.62081,0.000148696,0.000148696,0.000148696
94,4275.92,2.11158,3.39622,0.77826,0.65356,0.16791,0.18772,0.10845,2.08964,3.87843,0.62236,0.000132193,0.000132193,0.000132193
95,4312.06,1.92889,4.29483,0.75142,0.65356,0.16791,0.18772,0.10845,2.08964,3.87843,0.62236,0.00011569,0.00011569,0.00011569
96,4348.88,1.79401,3.52102,0.76462,0.67604,0.16519,0.19642,0.10897,2.03603,3.67759,0.62028,9.91865e-05,9.91865e-05,9.91865e-05
97,4384.77,1.82096,4.02591,0.79272,0.67604,0.16519,0.19642,0.10897,2.03603,3.67759,0.62028,8.26832e-05,8.26832e-05,8.26832e-05
98,4420.62,1.92392,4.54118,0.71505,0.68877,0.16565,0.19681,0.11413,2.02477,3.62962,0.6231,6.61799e-05,6.61799e-05,6.61799e-05
99,4457.13,1.93117,4.61939,0.77378,0.68877,0.16565,0.19681,0.11413,2.02477,3.62962,0.6231,4.96766e-05,4.96766e-05,4.96766e-05
100,4496.68,1.82925,3.33483,0.78012,0.69334,0.16635,0.19594,0.11488,2.03107,3.6498,0.62507,3.31733e-05,3.31733e-05,3.31733e-05
